"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.13678892204746e-57,-3.45397922211433,0.106,0.918,8.73667758150356e-53,"Rgs18-201",8.73667758150356e-53,"Down"
1.26293174532122e-46,-3.08536226918645,0.123,0.859,9.70613563549167e-42,"Lgalsl-201",9.70613563549167e-42,"Down"
2.91029492284301e-46,-2.73539165092904,0.086,0.812,2.23667806000177e-41,"Btk-201",2.23667806000177e-41,"Down"
8.33654052990153e-46,-3.09043443635438,0.183,0.918,6.40696485885052e-41,"Gp1ba-201",6.40696485885052e-41,"Down"
1.77501733890879e-44,-2.90524994004577,0.232,0.953,1.36417182564497e-39,"Fyb-201",1.36417182564497e-39,"Down"
8.89278938611615e-44,-3.19335895762629,0.131,0.835,6.8344643548057e-39,"Pkd1l3-203",6.8344643548057e-39,"Down"
6.46838412889646e-43,-3.04346020118671,0.385,0.988,4.97121193842208e-38,"Rsu1-201",4.97121193842208e-38,"Down"
4.15445466206556e-42,-2.63872078616249,0.052,0.659,3.19286458598386e-37,"Wbp2-201",3.19286458598386e-37,"Down"
2.3731171407843e-41,-2.60760392738542,0.017,0.518,1.82383544737836e-36,"Dnajb4-204",1.82383544737836e-36,"Down"
1.5933653551539e-40,-2.60557528549517,0.096,0.765,1.22456501004998e-35,"Gp6-202",1.22456501004998e-35,"Down"
3.38106505044657e-40,-1.85064089964536,0.03,0.565,2.5984837338702e-35,"Dnajb4-202",2.5984837338702e-35,"Down"
4.41535179392222e-40,-2.49428139873288,0.101,0.776,3.39337446770099e-35,"Tgfb1i1-201",3.39337446770099e-35,"Down"
7.50399229682696e-40,-2.66666917554289,0.232,0.941,5.76711823980339e-35,"Tuba4a-202",5.76711823980339e-35,"Down"
4.92946034816935e-39,-3.10815570834101,0.131,0.788,3.78848745598208e-34,"Pkd1l3-201",3.78848745598208e-34,"Down"
2.05607709683947e-38,-3.16168171210589,0.032,0.541,1.58017749200501e-33,"Ophn1-201",1.58017749200501e-33,"Down"
3.93855243823071e-38,-2.8030114411546,0.319,0.941,3.02693509087783e-33,"Myl9-201",3.02693509087783e-33,"Down"
4.120879552113e-38,-3.00733156727247,0.168,0.824,3.16706077098093e-33,"Tuba4a-201",3.16706077098093e-33,"Down"
5.09196510440949e-38,-3.25479167559032,0.351,0.929,3.91337886134287e-33,"Ppbp-201",3.91337886134287e-33,"Down"
2.35266248752672e-37,-2.63405557174576,0.077,0.682,1.80811522816378e-32,"Dusp3-206",1.80811522816378e-32,"Down"
5.93850842780949e-37,-2.48068285608985,0.432,0.965,4.5639812671087e-32,"Mmrn1-201",4.5639812671087e-32,"Down"
8.28341711379873e-37,-3.07558069106433,0.067,0.635,6.36613738863888e-32,"Hacd4-203",6.36613738863888e-32,"Down"
1.35544987659216e-36,-2.85160676092726,0.074,0.659,1.04171744815614e-31,"Septin2-201",1.04171744815614e-31,"Down"
2.19182158353165e-36,-2.66210345821697,0.202,0.882,1.68450255980741e-31,"Cavin2-201",1.68450255980741e-31,"Down"
2.52058803857558e-36,-2.55818443754912,0.143,0.812,1.93717273116688e-31,"Ccnd3-218",1.93717273116688e-31,"Down"
3.2787650091232e-36,-2.54827223832975,0.143,0.812,2.51986206011154e-31,"Ccnd3-215",2.51986206011154e-31,"Down"
3.80619336553604e-36,-2.59786849090394,0.138,0.8,2.92521184914907e-31,"Ccnd3-201",2.92521184914907e-31,"Down"
9.61822705080053e-36,-2.57497458606768,0.153,0.812,7.39199221762224e-31,"Capn2-201",7.39199221762224e-31,"Down"
1.15601397575751e-35,-1.4887617287738,0.988,1,8.88442980928678e-31,"Actb-201",8.88442980928678e-31,"Down"
1.26572063037411e-35,-1.84438761551334,0.8,1,9.72756933267715e-31,"Tln1-201",9.72756933267715e-31,"Down"
1.40205360749246e-35,-2.27989316714107,0.074,0.671,1.07753427950225e-30,"Sla-201",1.07753427950225e-30,"Down"
1.47156875314724e-35,-2.3606815579325,0.146,0.812,1.13095944954378e-30,"Ccnd3-202",1.13095944954378e-30,"Down"
1.9673066945628e-35,-2.17634225299965,0.294,0.976,1.51195388703929e-30,"Actn1-201",1.51195388703929e-30,"Down"
4.64254061895867e-35,-2.45283151566051,0.627,0.976,3.56797816729449e-30,"Fermt3-201",3.56797816729449e-30,"Down"
1.00589805278342e-34,-4.21058778078437,0.17,0.776,7.73072889486172e-30,"Ank3-231",7.73072889486172e-30,"Down"
1.35693110687929e-34,-1.92226736091859,0.025,0.482,1.04285583288101e-29,"Cd200r1-203",1.04285583288101e-29,"Down"
2.09189190217815e-34,-1.80033307589493,0.094,0.706,1.60770260249999e-29,"Med12l-206",1.60770260249999e-29,"Down"
2.94815631027827e-34,-2.16615695780647,0.074,0.647,2.26577605070126e-29,"Aco2-201",2.26577605070126e-29,"Down"
3.30250426089278e-34,-2.1376162409269,0.62,1,2.53810662466653e-29,"Plek-202",2.53810662466653e-29,"Down"
3.79006068632463e-34,-2.931273115286,0.069,0.624,2.91281323986793e-29,"Slc6a4-202",2.91281323986793e-29,"Down"
4.18520777589822e-34,-2.80657761012835,0.03,0.494,3.21649958408882e-29,"Celf2-206",3.21649958408882e-29,"Down"
4.60224999406717e-34,-2.12621540420236,0.195,0.871,3.53701321044039e-29,"Pls1-201",3.53701321044039e-29,"Down"
5.11942740072864e-34,-2.13503282631858,0.247,0.918,3.93448473455599e-29,"Ilk-212",3.93448473455599e-29,"Down"
6.23301186225497e-34,-2.58112185090278,0.104,0.706,4.79031893661744e-29,"Stk4-201",4.79031893661744e-29,"Down"
9.7978197435925e-34,-1.94336686875877,0.812,0.988,7.53001638574058e-29,"Thbs1-201",7.53001638574058e-29,"Down"
1.1809199732496e-33,-2.24697658256927,0.232,0.929,9.07584236241245e-29,"Aldh2-201",9.07584236241245e-29,"Down"
1.20981148141895e-33,-2.56222966874386,0.474,0.976,9.29788515929717e-29,"Vcl-201",9.29788515929717e-29,"Down"
1.79568697678333e-33,-2.36592864058864,0.595,1,1.38005726913706e-28,"Bin2-207",1.38005726913706e-28,"Down"
2.33976889175471e-33,-2.53308351398289,0.101,0.694,1.79820598406916e-28,"F13a1-201",1.79820598406916e-28,"Down"
2.36674333975103e-33,-1.79697760617118,0.16,0.824,1.81893692633226e-28,"Ccnd3-205",1.81893692633226e-28,"Down"
2.47226924708525e-33,-2.52837582774991,0.289,0.918,1.9000378071549e-28,"Arhgap18-201",1.9000378071549e-28,"Down"
2.47295068929712e-33,-2.25713020512083,0.348,0.941,1.90056152275241e-28,"Irag1-201",1.90056152275241e-28,"Down"
2.65265300979109e-33,-2.65452567022344,0.04,0.518,2.03866994414484e-28,"Btk-202",2.03866994414484e-28,"Down"
2.74305222638596e-33,-1.92190547057283,0.054,0.576,2.10814535806666e-28,"Idi1-201",2.10814535806666e-28,"Down"
3.53379767224529e-33,-3.01448313161311,0.077,0.624,2.71586486302739e-28,"Nav1-208",2.71586486302739e-28,"Down"
3.58144505818762e-33,-2.06479746757051,0.363,0.965,2.75248378501951e-28,"F5-201",2.75248378501951e-28,"Down"
4.37433195247659e-33,-2.6262380782327,0.032,0.494,3.36184907875636e-28,"Celf2-201",3.36184907875636e-28,"Down"
4.37433195247659e-33,-2.6262380782327,0.032,0.494,3.36184907875636e-28,"Celf2-202",3.36184907875636e-28,"Down"
6.10472803674051e-33,-2.53624138177513,0.427,0.929,4.69172768535655e-28,"Mmrn1-203",4.69172768535655e-28,"Down"
6.67740881870767e-33,-2.41191744337336,0.047,0.553,5.13185577352959e-28,"Sardh-202",5.13185577352959e-28,"Down"
7.84085543339001e-33,-2.5379627171623,0.049,0.553,6.02601103477756e-28,"Idi1-206",6.02601103477756e-28,"Down"
8.39852380002081e-33,-2.69020908922022,0.077,0.624,6.45460148126799e-28,"F13a1-202",6.45460148126799e-28,"Down"
9.29366766950935e-33,-2.16069955887553,0.19,0.847,7.14255535072472e-28,"Prkca-201",7.14255535072472e-28,"Down"
1.05076354635469e-32,-4.46319199819024,0.007,0.376,8.07553815915436e-28,"Krcc1-201",8.07553815915436e-28,"Down"
1.26514850354594e-32,-1.91145627543461,0.104,0.718,9.72317230915193e-28,"Rida-201",9.72317230915193e-28,"Down"
1.4746237792557e-32,-2.41639692117527,0.037,0.506,1.13330735930918e-27,"Atrx-202",1.13330735930918e-27,"Down"
1.62248401868391e-32,-2.14244399382731,0.049,0.553,1.24694386771933e-27,"Sh2b3-202",1.24694386771933e-27,"Down"
1.79604981716071e-32,-1.9656933726738,0.059,0.588,1.38033612648069e-27,"Ache-201",1.38033612648069e-27,"Down"
2.25652077275052e-32,-1.9584870129184,0.067,0.612,1.73422647468969e-27,"Mapre2-201",1.73422647468969e-27,"Down"
2.38330987717048e-32,-2.42273529626588,0.067,0.6,1.8316689730006e-27,"Btk-204",1.8316689730006e-27,"Down"
2.58202998858824e-32,-1.62253840055622,0.057,0.588,1.98439332742961e-27,"Nlk-201",1.98439332742961e-27,"Down"
2.73178793004968e-32,-2.12241236375558,0.057,0.576,2.09948829576038e-27,"Ache-202",2.09948829576038e-27,"Down"
3.45552056430789e-32,-1.55246177177348,0.089,0.682,2.65570577449318e-27,"Sla-202",2.65570577449318e-27,"Down"
4.85232078326069e-32,-2.28458562255388,0.059,0.576,3.72920261476717e-27,"Jak2-201",3.72920261476717e-27,"Down"
4.98419505253786e-32,-2.07634392846327,0.44,0.965,3.83055326567744e-27,"Alox12-201",3.83055326567744e-27,"Down"
5.19872375086341e-32,-1.75471516642679,0.111,0.729,3.99542715148856e-27,"Stxbp2-207",3.99542715148856e-27,"Down"
6.40454437422232e-32,-1.72676850899051,0.595,0.988,4.92214853336482e-27,"Tgfb1-201",4.92214853336482e-27,"Down"
7.06619423612833e-32,-2.53395144525582,0.069,0.6,5.43065291823407e-27,"Unc13d-207",5.43065291823407e-27,"Down"
8.07321885638389e-32,-3.84911159974571,0.032,0.471,6.20459161988527e-27,"Cit-201",6.20459161988527e-27,"Down"
8.11824079041042e-32,-3.95937597529078,0.022,0.435,6.23919277706203e-27,"Gskip-201",6.23919277706203e-27,"Down"
9.16707457258829e-32,-2.51623043007375,0.017,0.412,7.04526349201701e-27,"Dram2-203",7.04526349201701e-27,"Down"
1.02667924109091e-31,-3.08493775014778,0.123,0.694,7.8904406394801e-27,"Pkd1l3-202",7.8904406394801e-27,"Down"
1.1647200559261e-31,-2.84283264397453,0.17,0.765,8.95133951781448e-27,"Pde5a-204",8.95133951781448e-27,"Down"
1.2285033447629e-31,-2.511322071616,0.074,0.612,9.4415396058408e-27,"Unc13d-203",9.4415396058408e-27,"Down"
1.33925064684036e-31,-2.25854589895948,0.044,0.529,1.02926769212269e-26,"Mapre2-209",1.02926769212269e-26,"Down"
1.44061297666869e-31,-2.21824999974056,0.333,0.918,1.10716869708896e-26,"Irag1-202",1.10716869708896e-26,"Down"
1.54493916414453e-31,-2.27288302257829,0.151,0.776,1.18734754521164e-26,"Stx11-202",1.18734754521164e-26,"Down"
2.36417486211404e-31,-1.95258571912276,0.054,0.565,1.81696294852912e-26,"Myct1-201",1.81696294852912e-26,"Down"
2.81167374317117e-31,-2.19081519670702,0.356,0.965,2.16088373857677e-26,"Vwf-203",2.16088373857677e-26,"Down"
3.03826203077866e-31,-1.6742757876401,0.04,0.506,2.33502590113463e-26,"Rnf38-203",2.33502590113463e-26,"Down"
3.6698518847866e-31,-1.91272814884668,0.148,0.8,2.8204279675339e-26,"Hk1-202",2.8204279675339e-26,"Down"
3.73205269085776e-31,-1.87855389389893,0.057,0.565,2.86823177503182e-26,"Nckap1-201",2.86823177503182e-26,"Down"
6.02194203309888e-31,-2.05547976807851,0.052,0.541,4.62810333011781e-26,"Cep70-201",4.62810333011781e-26,"Down"
6.83539959166696e-31,-2.41764685559207,0.077,0.612,5.25327800217972e-26,"Unc13d-202",5.25327800217972e-26,"Down"
7.22790615685174e-31,-2.41393920620325,0.178,0.788,5.55493499778684e-26,"Daam1-202",5.55493499778684e-26,"Down"
7.28469634208296e-31,-2.51294756233421,0.032,0.471,5.59858052674443e-26,"Celf2-204",5.59858052674443e-26,"Down"
7.73831461627966e-31,-5.22877608166038,0.005,0.341,5.94720431519557e-26,"Nt5c2-203",5.94720431519557e-26,"Down"
9.41713316899313e-31,-2.31005967471751,0.479,0.976,7.23744352569798e-26,"Treml1-201",7.23744352569798e-26,"Down"
1.00495668315939e-30,-1.97768384053167,0.138,0.765,7.72349409275315e-26,"Atp2c1-202",7.72349409275315e-26,"Down"
1.05103250540847e-30,-2.5303425541613,0.156,0.753,8.07760521706623e-26,"Tnik-201",8.07760521706623e-26,"Down"
1.2852467465017e-30,-1.99042841316258,0.074,0.612,9.87763534556416e-26,"Lrrc8b-201",9.87763534556416e-26,"Down"
1.46925929493314e-30,-2.06391249965863,0.126,0.718,1.12918453852792e-25,"Nsf-202",1.12918453852792e-25,"Down"
1.62516153940992e-30,-1.80490716503856,0.072,0.6,1.2490016494981e-25,"Jak2-202",1.2490016494981e-25,"Down"
2.41140191825209e-30,-2.26128456974694,0.235,0.847,1.85325883025346e-25,"Prkcq-201",1.85325883025346e-25,"Down"
2.4705047055903e-30,-2.88527695929712,0.035,0.471,1.89868168643437e-25,"Map1a-201",1.89868168643437e-25,"Down"
2.4705047055903e-30,-2.88527695929712,0.035,0.471,1.89868168643437e-25,"Map1a-202",1.89868168643437e-25,"Down"
2.75731229570979e-30,-2.45510060572041,0.074,0.6,2.1191047917448e-25,"Nt5c3-202",2.1191047917448e-25,"Down"
3.00885209021093e-30,-2.33408583180283,0.267,0.871,2.31242318541071e-25,"Dnmt3a-201",2.31242318541071e-25,"Down"
3.40310379520723e-30,-1.02821151071434,0.015,0.388,2.61542139076857e-25,"Nt5c2-205",2.61542139076857e-25,"Down"
3.42491818819679e-30,-2.25743920968087,0.141,0.729,2.63218662435676e-25,"Lims1-206",2.63218662435676e-25,"Down"
3.47133586187839e-30,-2.63586405034406,0.047,0.518,2.66786046328802e-25,"Gucy1a1-204",2.66786046328802e-25,"Down"
3.53497560771407e-30,-1.71095159856707,0.116,0.718,2.71677015355257e-25,"Maged2-203",2.71677015355257e-25,"Down"
3.63073272541431e-30,-2.57285236151247,0.04,0.494,2.79036332878992e-25,"Ipo11-204",2.79036332878992e-25,"Down"
5.61905149537868e-30,-1.97334129406724,0.084,0.635,4.31846583625833e-25,"Lrrc8c-201",4.31846583625833e-25,"Down"
6.31263940055878e-30,-2.08132101184043,0.119,0.706,4.85151588490545e-25,"Atp2c1-204",4.85151588490545e-25,"Down"
8.05858471899407e-30,-1.70225346159068,0.205,0.906,6.1933446999357e-25,"Ptprj-204",6.1933446999357e-25,"Down"
1.16121161009484e-29,-1.83918267211861,0.104,0.671,8.92437570822285e-25,"Inpp5d-210",8.92437570822285e-25,"Down"
1.17529419161325e-29,-1.79252379081093,0.141,0.776,9.03260598022447e-25,"Dusp3-203",9.03260598022447e-25,"Down"
1.17529419161325e-29,-1.79252379081093,0.141,0.776,9.03260598022447e-25,"Dusp3-202",9.03260598022447e-25,"Down"
1.3427971077578e-29,-2.15076278672816,0.153,0.776,1.03199328919618e-24,"Ncoa4-202",1.03199328919618e-24,"Down"
1.39317526913344e-29,-2.18902802239765,0.217,0.824,1.07071092133982e-24,"Gp1ba-202",1.07071092133982e-24,"Down"
1.41834746434046e-29,-1.55074886625938,0.79,1,1.09005676024422e-24,"Eef1a1-201",1.09005676024422e-24,"Down"
1.74350340016515e-29,-2.4773645167699,0.04,0.482,1.33995210316292e-24,"Cmah-202",1.33995210316292e-24,"Down"
1.74350340016515e-29,-2.4773645167699,0.04,0.482,1.33995210316292e-24,"Cmah-206",1.33995210316292e-24,"Down"
1.83695554577307e-29,-3.36875840205919,0.104,0.624,1.41177381514843e-24,"Pbx1-205",1.41177381514843e-24,"Down"
1.91425471220988e-29,-3.17170582738492,0.054,0.518,1.47118131652178e-24,"Serpinb2-202",1.47118131652178e-24,"Down"
2.03822303202062e-29,-3.81070647329556,0.017,0.388,1.56645592902913e-24,"Capns1-208",1.56645592902913e-24,"Down"
2.03822303202062e-29,-3.81070647329556,0.017,0.388,1.56645592902913e-24,"Capns1-202",1.56645592902913e-24,"Down"
2.0996813203245e-29,-2.41884407129773,0.037,0.471,1.61368908192219e-24,"Mob1b-202",1.61368908192219e-24,"Down"
2.77633807014697e-29,-2.4621725351449,0.042,0.494,2.13372686043075e-24,"Ipo11-201",2.13372686043075e-24,"Down"
2.98934318217908e-29,-1.51902489181834,0.158,0.812,2.29742980923191e-24,"Samd14-201",2.29742980923191e-24,"Down"
3.06371970125964e-29,-2.19232906700806,0.207,0.812,2.35459113920608e-24,"Trip12-206",2.35459113920608e-24,"Down"
3.2682952354756e-29,-2.39588888036589,0.195,0.824,2.51181562027242e-24,"Sptan1-202",2.51181562027242e-24,"Down"
4.19420404022764e-29,-2.19903457062291,0.156,0.776,3.22341357307655e-24,"Ncoa4-201",3.22341357307655e-24,"Down"
4.27609155280844e-29,-2.42372025449004,0.072,0.576,3.2863474019954e-24,"Unc13d-201",3.2863474019954e-24,"Down"
4.52809643564686e-29,-2.05336260457964,0.173,0.776,3.48002323465204e-24,"Pde3a-201",3.48002323465204e-24,"Down"
5.53268878057222e-29,-2.71325763091774,0.035,0.459,4.25209263542097e-24,"Slc44a2-201",4.25209263542097e-24,"Down"
6.10631476064117e-29,-1.73922802084666,0.104,0.671,4.69294714614316e-24,"Maged2-204",4.69294714614316e-24,"Down"
6.58590326644467e-29,-2.0541647627068,0.272,0.906,5.06153009639339e-24,"Nptn-201",5.06153009639339e-24,"Down"
1.07457158359565e-28,-2.82060841072947,0.072,0.565,8.25851244856605e-24,"Map2k3-201",8.25851244856605e-24,"Down"
1.09633676847127e-28,-1.85684801760216,0.128,0.718,8.4257866004091e-24,"Atp2c1-201",8.4257866004091e-24,"Down"
1.15213546523351e-28,-1.95514812196002,0.047,0.506,8.85462190450562e-24,"Mapre2-202",8.85462190450562e-24,"Down"
1.15655020552237e-28,-2.26430775474417,0.084,0.612,8.88855094952163e-24,"Stxbp2-201",8.88855094952163e-24,"Down"
1.16404097472657e-28,-2.05047847231799,0.044,0.494,8.94612050716355e-24,"Evi2-201",8.94612050716355e-24,"Down"
1.33371214522651e-28,-1.87548606770574,0.222,0.882,1.02501113209238e-23,"Parvb-201",1.02501113209238e-23,"Down"
1.5957582758465e-28,-2.14030797513058,0.079,0.588,1.22640406531907e-23,"Prune2-201",1.22640406531907e-23,"Down"
1.87421063667332e-28,-2.42448974700848,0.101,0.635,1.44040584270891e-23,"Elf1-202",1.44040584270891e-23,"Down"
2.46543624011629e-28,-2.29297671167031,0.027,0.424,1.89478636797897e-23,"Stk3-205",1.89478636797897e-23,"Down"
2.54007124182125e-28,-2.05397740074133,0.081,0.6,1.95214635218931e-23,"Maged2-202",1.95214635218931e-23,"Down"
2.59318881014166e-28,-2.88259783363798,0.091,0.6,1.99296932814627e-23,"Coro1a-202",1.99296932814627e-23,"Down"
2.64953663839331e-28,-2.24291974471117,0.04,0.471,2.03627488807079e-23,"Evi2b-201",2.03627488807079e-23,"Down"
2.9197477789984e-28,-2.12196449223499,0.106,0.647,2.24394295807143e-23,"Trpc6-202",2.24394295807143e-23,"Down"
3.10051976885531e-28,-1.48998719530945,0.183,0.859,2.38287346315606e-23,"Gp5-201",2.38287346315606e-23,"Down"
3.77022434340942e-28,-2.00029304022987,0.101,0.647,2.89756821688388e-23,"Aftph-201",2.89756821688388e-23,"Down"
4.50712179089746e-28,-4.12543169977511,0.01,0.341,3.46390338117633e-23,"Ophn1-202",3.46390338117633e-23,"Down"
4.65350553587165e-28,-2.33368422269368,0.062,0.541,3.5764051445388e-23,"Mrtfa-204",3.5764051445388e-23,"Down"
5.03976236482527e-28,-2.41069978273092,0.04,0.471,3.87325896786282e-23,"Angpt1-201",3.87325896786282e-23,"Down"
5.16868546550926e-28,-1.67034512114362,0.148,0.776,3.97234152766249e-23,"Dusp3-201",3.97234152766249e-23,"Down"
6.15717055172778e-28,-3.16255992011756,0.012,0.353,4.73203185582487e-23,"Fmr1-202",4.73203185582487e-23,"Down"
6.61991490155975e-28,-1.77519943425417,0.035,0.447,5.08766939844473e-23,"Prcp-201",5.08766939844473e-23,"Down"
6.86313184993807e-28,-2.28749878324525,0.022,0.4,5.2745913519514e-23,"Mavs-203",5.2745913519514e-23,"Down"
7.30897078006376e-28,-1.78849157838879,0.257,0.871,5.6172364033102e-23,"Ilk-201",5.6172364033102e-23,"Down"
7.45119272858091e-28,-1.92953996737361,0.114,0.682,5.72653965962357e-23,"Capn3-212",5.72653965962357e-23,"Down"
7.67843834919397e-28,-1.74532549498704,0.086,0.612,5.90118700888953e-23,"Zfp207-201",5.90118700888953e-23,"Down"
8.32152136555177e-28,-2.59790983944246,0.017,0.376,6.39542203028116e-23,"Prkag1-201",6.39542203028116e-23,"Down"
8.71429039347906e-28,-2.53356059784399,0.042,0.471,6.6972807390044e-23,"Ache-208",6.6972807390044e-23,"Down"
9.13244457393682e-28,-2.6089981512267,0.044,0.471,7.0186489528534e-23,"Asap2-201",7.0186489528534e-23,"Down"
9.14712373157837e-28,-2.60874380063294,0.081,0.576,7.02993047266724e-23,"Add3-207",7.02993047266724e-23,"Down"
9.14712373157837e-28,-2.60874380063294,0.081,0.576,7.02993047266724e-23,"Add3-201",7.02993047266724e-23,"Down"
1.03679959838135e-27,-2.3123132681192,0.279,0.871,7.96821963339999e-23,"Itga6-201",7.96821963339999e-23,"Down"
1.22804730308573e-27,-2.84693768051295,0.032,0.435,9.43803474313506e-23,"Akap5-201",9.43803474313506e-23,"Down"
1.22804730308573e-27,-2.84693768051295,0.032,0.435,9.43803474313506e-23,"Akap5-202",9.43803474313506e-23,"Down"
1.30547097039292e-27,-1.38684526691552,0.084,0.612,1.00330665958577e-22,"Dync1i2-204",1.00330665958577e-22,"Down"
1.50641255161811e-27,-2.54789319589715,0.138,0.682,1.15773830242058e-22,"Macf1-203",1.15773830242058e-22,"Down"
1.55615845288963e-27,-1.81250914379573,0.425,0.953,1.1959700173838e-22,"Dstn-201",1.1959700173838e-22,"Down"
1.64099769723383e-27,-1.7377355597707,0.21,0.847,1.26117237023208e-22,"Cdc42-202",1.26117237023208e-22,"Down"
1.88131051586963e-27,-3.08362344882779,0.247,0.788,1.44586238386645e-22,"Mbnl1-201",1.44586238386645e-22,"Down"
2.00717877659115e-27,-1.72331701329978,0.106,0.659,1.54259717696136e-22,"Maged2-201",1.54259717696136e-22,"Down"
2.01699599320967e-27,-2.09509294854542,0.059,0.529,1.55014210062136e-22,"Gtf2e2-203",1.55014210062136e-22,"Down"
2.0667665670728e-27,-1.88702906756246,0.089,0.624,1.58839277745813e-22,"Nfe2l2-201",1.58839277745813e-22,"Down"
2.14074699504499e-27,-2.02874522665024,0.119,0.671,1.64524969557188e-22,"I830077J02Rik-201",1.64524969557188e-22,"Down"
2.22341486568279e-27,-2.17080422989204,0.054,0.506,1.70878326087185e-22,"Jak2-204",1.70878326087185e-22,"Down"
2.5436366238818e-27,-1.91443758516422,0.064,0.541,1.95488649091812e-22,"Mrtfa-211",1.95488649091812e-22,"Down"
2.83849996008394e-27,-1.85583840269288,0.116,0.682,2.18150075932291e-22,"Capn3-204",2.18150075932291e-22,"Down"
2.83849996008394e-27,-1.8558384028083,0.116,0.682,2.18150075932291e-22,"Capn3-201",2.18150075932291e-22,"Down"
2.83849996008394e-27,-1.8558384028083,0.116,0.682,2.18150075932291e-22,"Capn3-208",2.18150075932291e-22,"Down"
3.0717801493417e-27,-1.50436958350027,0.18,0.824,2.36078591597507e-22,"Skap2-205",2.36078591597507e-22,"Down"
3.2038938024743e-27,-2.22565528015254,0.148,0.718,2.4623205429536e-22,"Mylk-201",2.4623205429536e-22,"Down"
3.20506055553666e-27,-1.95964387048273,0.072,0.565,2.46321723935215e-22,"Mvb12b-201",2.46321723935215e-22,"Down"
3.25593977940794e-27,-2.08028156742594,0.402,0.976,2.50231995806618e-22,"Tmsb4x-201",2.50231995806618e-22,"Down"
3.28181792335053e-27,-2.42540862353728,0.081,0.576,2.52220834681182e-22,"Slmap-203",2.52220834681182e-22,"Down"
3.51903550975797e-27,-2.34755603795209,0.402,0.894,2.70451955066939e-22,"Zyx-207",2.70451955066939e-22,"Down"
3.5426442376026e-27,-1.85204167810801,0.178,0.776,2.7226638023671e-22,"Lims1-202",2.7226638023671e-22,"Down"
3.55445226499933e-27,-2.02057369766246,0.111,0.659,2.73173874374258e-22,"Dock8-201",2.73173874374258e-22,"Down"
3.60320999760126e-27,-2.54778587720956,0.084,0.576,2.76921101155647e-22,"Add3-213",2.76921101155647e-22,"Down"
4.93669615950134e-27,-2.33413615181822,0.077,0.565,3.79404846642316e-22,"Rab11a-208",3.79404846642316e-22,"Down"
5.61274312323243e-27,-2.21903180046822,0.062,0.529,4.31361759992905e-22,"Mrtfa-201",4.31361759992905e-22,"Down"
7.05746168183267e-27,-2.25710596032843,0.114,0.647,5.42394160095568e-22,"Fdps-203",5.42394160095568e-22,"Down"
7.6719840164956e-27,-2.02058274015909,0.106,0.635,5.89622659603753e-22,"Erbin-203",5.89622659603753e-22,"Down"
7.70163419063899e-27,-2.57480263551261,0.067,0.529,5.91901394087369e-22,"Serpine2-201",5.91901394087369e-22,"Down"
7.95049966749292e-27,-1.75210592831608,0.195,0.824,6.11027701445501e-22,"Tubb2a-201",6.11027701445501e-22,"Down"
8.28924375040506e-27,-2.15064687005953,0.04,0.459,6.3706153919363e-22,"Sardh-201",6.3706153919363e-22,"Down"
9.19788540589772e-27,-1.96904307527573,0.24,0.859,7.06894284984863e-22,"Rac1-201",7.06894284984863e-22,"Down"
9.33813823237379e-27,-1.82475687003789,0.165,0.753,7.17673275710855e-22,"Esd-201",7.17673275710855e-22,"Down"
9.67834943824713e-27,-2.36618878571442,0.069,0.541,7.43819867727045e-22,"Unc13d-209",7.43819867727045e-22,"Down"
9.96521700229131e-27,-1.6980707527381,0.069,0.541,7.65866787494096e-22,"Adgrg1-202",7.65866787494096e-22,"Down"
1.10118898030194e-26,-1.54416238900191,0.062,0.529,8.46307778921256e-22,"Gtf2e2-202",8.46307778921256e-22,"Down"
1.16071996164507e-26,-3.49932230112055,0.025,0.388,8.92059719322705e-22,"Coro1b-211",8.92059719322705e-22,"Down"
1.16349422246695e-26,-2.42980112580486,0.054,0.494,8.94191849734753e-22,"Aftph-205",8.94191849734753e-22,"Down"
1.17550841565451e-26,-1.64955112311478,0.195,0.835,9.03425237767121e-22,"Mapk6-202",9.03425237767121e-22,"Down"
1.71872122815012e-26,-1.6913030509835,0.074,0.565,1.3209060126825e-21,"Cyfip1-203",1.3209060126825e-21,"Down"
1.77005412135179e-26,-1.88857511306886,0.084,0.588,1.3603573944237e-21,"Twf2-204",1.3603573944237e-21,"Down"
1.78497359556917e-26,-1.8747604919512,0.086,0.6,1.37182360713873e-21,"Cyfip1-201",1.37182360713873e-21,"Down"
1.81931272959021e-26,-1.8914156266815,0.24,0.835,1.39821460519926e-21,"Trip12-201",1.39821460519926e-21,"Down"
1.91844899988587e-26,-1.92343397158247,0.052,0.494,1.47440479437228e-21,"Nckap1-202",1.47440479437228e-21,"Down"
2.11460349620491e-26,-1.30993352489508,0.081,0.588,1.62515737097332e-21,"Dync1i2-205",1.62515737097332e-21,"Down"
2.17883442458074e-26,-1.74362962611108,0.262,0.871,1.67452140866728e-21,"Clu-201",1.67452140866728e-21,"Down"
2.38941360478255e-26,-1.77958481929116,0.158,0.729,1.83635993181958e-21,"Ehbp1l1-201",1.83635993181958e-21,"Down"
2.42436369385783e-26,-1.92206849137212,0.049,0.482,1.8632204732775e-21,"Klf7-202",1.8632204732775e-21,"Down"
2.46373438654702e-26,-1.46978592946214,0.044,0.471,1.89347842543685e-21,"Mavs-202",1.89347842543685e-21,"Down"
