"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
0,3.55111976171963,0.708,0.117,0,"Grik3",1.12374281103978e-300,"Up"
6.39507632050863e-305,-2.07610292126497,0.717,0.993,1.12374281103978e-300,"Car2",1.12374281103978e-300,"Down"
2.727892111731e-281,-2.04057974113433,0.654,0.992,4.79345201873371e-277,"Pabpc1",4.79345201873371e-277,"Down"
7.26260450392844e-279,1.74455889371238,0.993,0.946,1.2761848634303e-274,"Tpt1",1.2761848634303e-274,"Up"
1.12537268409719e-268,-1.62319122335741,0.815,0.996,1.97750488049558e-264,"Eef1a1",1.97750488049558e-264,"Down"
3.41354735481239e-267,2.86398365158339,0.964,0.958,5.99828541187633e-263,"Peak1",5.99828541187633e-263,"Up"
1.16251231571756e-256,2.67932059435116,0.966,0.991,2.0427666411789e-252,"Zc3h7a",2.0427666411789e-252,"Up"
1.91305618974633e-245,2.64704346490273,0.867,0.391,3.36162233662225e-241,"Ftl1-ps1",3.36162233662225e-241,"Up"
2.31973000924243e-241,-3.78525818165983,0.104,0.823,4.07622957224079e-237,"Gypa",4.07622957224079e-237,"Down"
4.91279594083336e-235,-1.70639059211243,0.666,0.986,8.63276502723238e-231,"Slc4a1",8.63276502723238e-231,"Down"
3.21187162271868e-229,-3.01316031857226,0.255,0.867,5.64390081544126e-225,"Hemgn",5.64390081544126e-225,"Down"
1.63289448629462e-219,-2.5908734977817,0.52,0.919,2.86932219131691e-215,"Mki67",2.86932219131691e-215,"Down"
1.20561938016018e-218,2.534421077894,0.867,0.415,2.11851437481747e-214,"Hbb-bt",2.11851437481747e-214,"Up"
1.80148391670503e-213,2.94694775349266,0.855,0.479,3.16556753843408e-209,"Itga9",3.16556753843408e-209,"Up"
1.14413071130547e-212,-1.41278494590387,0.821,0.988,2.01046648590598e-208,"Slc25a37",2.01046648590598e-208,"Down"
5.59780474254837e-186,-2.06808906224483,0.349,0.883,9.836462493606e-182,"Cpox",9.836462493606e-182,"Down"
1.08489683771999e-182,-2.12344303803831,0.343,0.865,1.90638072324157e-178,"Slc39a8",1.90638072324157e-178,"Down"
2.06441539519188e-180,-2.84111809892565,0.159,0.767,3.62759073243118e-176,"Alad",3.62759073243118e-176,"Down"
1.92303453076908e-170,-1.6301939264108,0.531,0.927,3.37915627746743e-166,"Spta1",3.37915627746743e-166,"Down"
1.96367722577459e-169,1.31454454960665,0.979,0.967,3.45057362113111e-165,"Cntnap5b",3.45057362113111e-165,"Up"
1.21934068938511e-164,-1.86428630314448,0.435,0.888,2.14262545938751e-160,"Sptb",2.14262545938751e-160,"Down"
2.20764587327581e-158,-2.06368121810835,0.304,0.813,3.87927532852025e-154,"Tspan33",3.87927532852025e-154,"Down"
4.03290228535267e-152,-2.42130548997067,0.289,0.777,7.08661589582171e-148,"Tubb5",7.08661589582171e-148,"Down"
8.66171018311581e-149,-1.2856487324929,0.663,0.956,1.52203571337711e-144,"Fech",1.52203571337711e-144,"Down"
4.06135286704133e-144,-1.72888932712037,0.455,0.863,7.13660925796503e-140,"Anp32b",7.13660925796503e-140,"Down"
1.60848981854907e-140,-2.95230889367923,0.125,0.665,2.82643830915442e-136,"Slc25a21",2.82643830915442e-136,"Down"
2.33736438311733e-139,-1.12663830893815,0.775,0.989,4.10721669401377e-135,"Nudt4",4.10721669401377e-135,"Down"
1.53782306928296e-136,1.42736293575558,0.987,0.895,2.70226269734402e-132,"Hbb-bs",2.70226269734402e-132,"Up"
1.857963403885e-136,-1.45222101563093,0.519,0.9,3.26481329330672e-132,"H3f3a",3.26481329330672e-132,"Down"
